id,created_at,status,tipo_contrato,data_inicio,data_fim,salario,colaborador_id,notas,salario_variavel,cargo
1,2026-04-06T13:06:37+00:00,Ativo,Contrato Inicial,2019-01-01,,1600000,94a39fad-7a9d-408e-b6d9-b3d51649b0e8,,,1
2,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,2019-01-21,2019-02-01,,ae0a0643-eeb7-4147-8427-3faa5dfb8865,,,
3,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,2019-04-01,2020-03-18,,fcfc270a-e365-4cbf-93f1-0cfd327fc699,,,
4,2026-04-06T13:06:37+00:00,Ativo,Contrato Inicial,2019-01-04,,1540000,cce9d444-1c0c-4cbe-b57e-919c769deafb,,,2
5,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,2019-05-01,2019-10-31,,f60712e1-61f6-4e94-b929-15e24f1389e4,,,
6,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,,,,d43e5557-e258-4302-9b34-f06ecf1bda2a,,,
7,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,2019-07-01,2019-11-01,,125fa643-9d38-4fd5-8321-1be47a9b5670,,,
8,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,2019-08-08,2019-08-08,,ba46088a-66c9-4aaa-8739-c8960e38ae93,,,
9,2026-04-06T13:06:37+00:00,Ativo,Contrato Inicial,2019-08-16,,3200000,ebb14045-74b4-45f0-ace0-efc618a010e7,,,3
10,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,,,,a2aa32e0-630a-4430-aed1-711324b6c476,,,
11,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,2019-10-02,2020-11-30,,e3586590-5073-4b97-8240-173f1ab40636,,,
12,2026-04-06T13:06:37+00:00,Inativo,Contrato Inicial,2019-10-07,2019-12-21,,53cc5b4d-fea0-4ad7-a164-ff542036ab46,,,
