id,colaborador_profile_id,ciclo,status,clareza_apresentacao,conforto_avaliacao_pares,conforto_autoavaliacao,tempo_suficiente,clareza_lideranca,representatividade_feedback,surpresa_devolutiva,conforto_devolutiva,efetividade_programa,clareza_proximos_passos,falta_apresentacao_captura,falta_devolutivas,falta_perguntas_gerais,data_envio,created_at,updated_at
6b712200-979e-4baf-96f8-3e8c41c539d4,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,4,4,,4,4,,Prazo para a finalização dos feedbacks,Nenhum comentário,Nenhum comentário,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
52ee5955-a418-4d8f-bfc9-62f6c2a3eef0,,2º ciclo 2023,Finalizado,,,4,Não foi suficiente,5,5,,5,4,,Mais perguntas / Perguntas melhores direcionadas,Mais visibilidade na data de retorno,Tempo,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
7896cda5-09de-4186-8634-238ef641f24f,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
efc80e01-20e0-4aed-985d-c03aa8490611,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
f47b87b2-888d-4346-ae9a-7f829b9993dc,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
24864818-5bdd-4a98-a56b-2bb8b38283be,,2º ciclo 2023,Finalizado,,,2,Não foi suficiente,5,5,,5,4,,"Eu estava de férias quando começou a divulgação da avaliação de desempenho, quando retornei fiquei em dúvida se eu deveria ou não participar. Demorou um pouco para ter a resposta de retorno e quando tive, teve falha minha de autogerenciamento quanto ao tempo para me organizar e responder aos poucos as avaliações. Tanto que fui uma das pessoas que acabou atrasando o preenchimento e impactando no prazo final.","A princípio não senti falta de nada, eu estava bem alinhada com os pontos que meu Líder trouxe e fazia sentido com a minha jornada do último ciclo. Trouxe fatos e exemplificações reais do que aconteceu. Na verdade, pensando melhor, talvez a questão do tempo de retorno, ser algo mais ágil a devolutiva.","Não é algo a ser perguntado, mas acho que como Liderança de Projeto seria bom ter indicado o nível de senioridade das pessoas envolvidas no Projeto. Assim a gente consegue ajustar a régua com base no ""nível"" que a pessoa ocupa, se questionar se está sendo muito rígido, se o comportamento dela é esperado ou abaixo das expectativas. Eu posso ter a expectativa que a pessoa cumpra determinada tarefa, mas ela pode não estar preparada 100% para cumprir e guiar esse processo, até mesmo pelo nível de senioridade que ocupa.",2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
cc62f643-17fd-4864-b816-77a54f4ad78c,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
f4bb341e-11d1-4e66-9558-5b5e203eee0d,,2º ciclo 2023,Finalizado,,,2,Foi suficiente ,5,4,,4,4,,Definir melhor alguns critérios,N/A,N/A,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
d3a4f132-878d-4fe0-87bd-39b934b5e040,,2º ciclo 2023,Em aberto,,,,,,,,,,,,,,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
3de182c6-07b8-4104-bc6b-7d67b3e622b4,,2º ciclo 2023,Finalizado,,,4,Foi suficiente ,5,3,,5,2,,Preencher um Feedback sobre a empresa,"O tempo de calibragem. As devolutivas acontecem muito tempo depois do ciclo avaliado, e isso acaba perdendo um pouco a eficácia do feedback. Fica difícil referenciar situações e gerar significado para o avaliado. Também entendo que o processo é detalhista e cuidadoso, mas acho que o processo de calibragem fica muito concentrado em um pequeno grupo de pessoas que ficam sobrecarregadas com a quantidade de feedbacks avaliados.",-,2024-04-08,2026-03-31T03:51:31+00:00,2026-03-31T03:51:31+00:00
